DUF24	91	CP065320.1_1007	145	1.7e-23	1	89	17	105	0.967032967033
LytTR	98	CP065320.1_1022	230	2.9e-17	8	95	134	215	0.887755102041
MerR	38	CP065320.1_1031	274	2.3e-13	1	38	3	41	0.973684210526
HTH_3	55	CP065320.1_1040	73	5.5e-07	5	51	11	56	0.836363636364
HTH_5	47	CP065320.1_1069	120	5.1e-21	1	47	43	89	0.978723404255
HTH_AraC	42	CP065320.1_1081	284	1.1e-07	1	35	15	49	0.809523809524
HTH_AraC	42	CP065320.1_1081	284	1.6e-08	6	41	69	105	0.833333333333
HTH_3	55	CP065320.1_1094	119	4.1e-14	1	52	15	66	0.927272727273
HTH_1	60	CP065320.1_110	302	1.1e-20	1	60	3	62	0.983333333333
HTH_AraC	42	CP065320.1_1104	289	2.1e-07	1	41	184	224	0.952380952381
HTH_AraC	42	CP065320.1_1104	289	1.7e-17	1	42	236	275	0.97619047619
MerR	38	CP065320.1_1123	239	1.7e-12	1	38	6	43	0.973684210526
Trans_reg_C	77	CP065320.1_1125	237	9.8e-27	4	77	162	234	0.948051948052
HTH_3	55	CP065320.1_1142	414	1.8e-06	1	43	17	61	0.763636363636
HTH_AraC	42	CP065320.1_1156	505	5.2e-12	6	38	462	495	0.761904761905
HTH_3	55	CP065320.1_1179	111	1.7e-12	1	55	7	61	0.981818181818
HTH_3	55	CP065320.1_1180	108	1.6e-10	1	55	7	61	0.981818181818
HTH_DeoR	57	CP065320.1_1184	210	7.2e-05	18	43	35	60	0.438596491228
HTH_11	55	CP065320.1_1193	318	6.7e-15	4	55	6	58	0.927272727273
HTH_AraC	42	CP065320.1_1195	299	1e-10	1	42	14	55	0.97619047619
HTH_AraC	42	CP065320.1_1195	299	1.3e-11	10	41	72	104	0.738095238095
MerR	38	CP065320.1_1215	272	5.8e-11	2	38	9	45	0.947368421053
HTH_11	55	CP065320.1_1224	645	6.7e-09	1	54	8	65	0.963636363636
Mga	87	CP065320.1_1224	645	6.8e-09	14	86	94	169	0.827586206897
PadR	75	CP065320.1_1228	186	3.4e-12	1	75	9	84	0.986666666667
HTH_3	55	CP065320.1_1233	113	3.7e-13	2	52	15	65	0.909090909091
HTH_AraC	42	CP065320.1_1247	394	3.3e-07	7	41	239	274	0.809523809524
HTH_AraC	42	CP065320.1_1247	394	3.3e-08	6	42	352	389	0.857142857143
HTH_3	55	CP065320.1_1249	151	5.4e-20	4	55	10	61	0.927272727273
LytTR	98	CP065320.1_1270	231	6.2e-05	2	96	133	221	0.959183673469
HTH_DeoR	57	CP065320.1_1276	259	3.8e-18	1	56	6	61	0.964912280702
HTH_DeoR	57	CP065320.1_1278	686	7.2e-07	12	37	19	44	0.438596491228
Mga	87	CP065320.1_1278	686	4.1e-11	6	86	81	165	0.919540229885
HTH_Mga	60	CP065320.1_1281	638	2.6e-09	9	53	7	51	0.733333333333
Mga	87	CP065320.1_1281	638	3.3e-12	18	84	83	152	0.758620689655
Trans_reg_C	77	CP065320.1_1287	231	2.4e-26	1	77	151	227	0.987012987013
GerE	57	CP065320.1_1289	226	5.1e-17	2	56	158	212	0.947368421053
HTH_DeoR	57	CP065320.1_1298	260	7.6e-19	1	54	8	61	0.929824561404
HTH_11	55	CP065320.1_1307	640	1e-13	1	53	6	58	0.945454545455
